,Class
2998,13
2999,10
3000,12
3001,10
3002,5
3003,9
3004,13
3005,12
3006,9
3007,19
3008,11
3009,18
3010,5
3011,8
3012,19
3013,2
3014,17
3015,17
3016,8
3017,16
3018,2
3019,9
3020,17
3021,6
3022,1
3023,10
3024,11
3025,7
3026,3
3027,5
3028,4
3029,6
3030,14
3031,10
3032,18
3033,6
3034,11
3035,7
3036,9
3037,7
3038,17
3039,9
3040,3
3041,3
3042,11
3043,11
3044,6
3045,16
3046,4
3047,18
3048,16
3049,16
3050,16
3051,5
3052,16
3053,2
3054,8
3055,8
3056,9
3057,15
3058,15
3059,7
3060,12
3061,19
3062,6
3063,9
3064,7
3065,3
3066,10
3067,10
3068,17
3069,1
3070,0
3071,0
3072,10
3073,16
3074,19
3075,5
3076,0
3077,18
3078,4
3079,5
3080,11
3081,3
3082,19
3083,0
3084,6
3085,4
3086,15
3087,14
3088,13
3089,15
3090,6
3091,16
3092,6
3093,13
3094,6
3095,1
3096,6
3097,4
3098,11
3099,8
3100,11
3101,19
3102,15
3103,5
3104,16
3105,1
3106,17
3107,1
3108,19
3109,6
3110,14
3111,1
3112,10
3113,18
3114,7
3115,4
3116,8
3117,12
3118,6
3119,11
3120,10
3121,6
3122,14
3123,6
3124,7
3125,3
3126,4
3127,5
3128,14
3129,9
3130,13
3131,10
3132,15
3133,1
3134,5
3135,4
3136,18
3137,7
3138,3
3139,10
3140,17
3141,16
3142,14
3143,14
3144,18
3145,19
3146,17
3147,13
3148,11
3149,5
3150,6
3151,13
3152,9
3153,0
3154,3
3155,16
3156,16
3157,17
3158,15
3159,4
3160,8
3161,10
3162,4
3163,11
3164,3
3165,0
3166,2
3167,11
3168,19
3169,8
3170,17
3171,5
3172,4
3173,5
3174,3
3175,15
3176,14
3177,6
3178,16
3179,15
3180,9
3181,8
3182,6
3183,3
3184,10
3185,15
3186,18
3187,12
3188,18
3189,10
3190,1
3191,18
3192,3
3193,7
3194,7
3195,15
3196,1
3197,2
3198,10
3199,16
3200,9
3201,5
3202,18
3203,2
3204,17
3205,0
3206,16
3207,19
3208,16
3209,9
3210,13
3211,7
3212,11
3213,17
3214,10
3215,5
3216,3
3217,1
3218,9
3219,8
3220,0
3221,16
3222,4
3223,15
3224,8
3225,18
3226,14
3227,15
3228,9
3229,13
3230,4
3231,1
3232,18
3233,6
3234,3
3235,1
3236,1
3237,4
3238,15
3239,9
3240,17
3241,11
3242,6
3243,14
3244,1
3245,8
3246,14
3247,9
3248,9
3249,16
3250,16
3251,19
3252,7
3253,0
3254,4
3255,7
3256,8
3257,15
3258,15
3259,4
3260,1
3261,18
3262,9
3263,7
3264,18
3265,1
3266,18
3267,12
3268,13
3269,17
3270,4
3271,8
3272,0
3273,4
3274,18
3275,14
3276,5
3277,6
3278,6
3279,4
3280,10
3281,16
3282,12
3283,18
3284,14
3285,0
3286,3
3287,7
3288,5
3289,9
3290,2
3291,15
3292,19
3293,18
3294,11
3295,5
3296,11
3297,13
3298,15
3299,18
3300,13
3301,19
3302,3
3303,7
3304,13
3305,9
3306,13
3307,8
3308,10
3309,16
3310,12
3311,18
3312,10
3313,10
3314,6
3315,5
3316,1
3317,11
3318,16
3319,11
3320,8
3321,7
3322,9
3323,6
3324,7
3325,6
3326,4
3327,5
3328,12
3329,18
3330,2
3331,10
3332,12
3333,4
3334,2
3335,15
3336,13
3337,8
3338,0
3339,6
3340,7
3341,5
3342,11
3343,3
3344,13
3345,15
3346,15
3347,6
3348,16
3349,9
3350,16
3351,12
3352,16
3353,12
3354,9
3355,17
3356,7
3357,0
3358,13
3359,12
3360,8
3361,19
3362,18
3363,16
3364,19
3365,0
3366,6
3367,17
3368,14
3369,16
3370,4
3371,7
3372,18
3373,15
3374,17
3375,11
3376,1
3377,11
3378,1
3379,2
3380,3
3381,0
3382,11
3383,6
3384,1
3385,15
3386,19
3387,3
3388,5
3389,12
3390,3
3391,2
3392,16
3393,11
3394,3
3395,1
3396,1
3397,8
3398,14
3399,13
3400,2
3401,11
3402,14
3403,15
3404,11
3405,13
3406,17
3407,5
3408,17
3409,13
3410,14
3411,5
3412,12
3413,12
3414,9
3415,9
3416,7
3417,15
3418,8
3419,17
3420,10
3421,1
3422,14
3423,13
3424,15
3425,12
3426,13
3427,15
3428,2
3429,14
3430,2
3431,2
3432,16
3433,3
3434,7
3435,15
3436,11
3437,10
3438,5
3439,11
3440,7
3441,9
3442,8
3443,10
3444,6
3445,15
3446,4
3447,13
3448,13
3449,1
3450,2
3451,6
3452,15
3453,15
3454,4
3455,5
3456,11
3457,1
3458,8
3459,16
3460,4
3461,5
3462,11
3463,6
3464,13
3465,15
3466,1
3467,13
3468,7
3469,6
3470,4
3471,3
3472,17
3473,12
3474,14
3475,14
3476,15
3477,17
3478,4
3479,5
3480,6
3481,17
3482,15
3483,3
3484,12
3485,6
3486,3
3487,8
3488,14
3489,13
3490,15
3491,12
3492,17
3493,9
3494,7
3495,10
3496,18
3497,17
3498,4
3499,19
3500,2
3501,18
3502,9
3503,3
3504,13
3505,16
3506,19
3507,12
3508,2
3509,12
3510,14
3511,10
3512,2
3513,17
3514,5
3515,19
3516,9
3517,6
3518,16
3519,3
3520,2
3521,1
3522,1
3523,9
3524,9
3525,2
3526,10
3527,12
3528,2
3529,3
3530,14
3531,9
3532,9
3533,13
3534,7
3535,2
3536,10
3537,1
3538,11
3539,0
3540,19
3541,5
3542,3
3543,11
3544,8
3545,1
3546,11
3547,9
3548,7
3549,16
3550,3
3551,6
3552,18
3553,8
3554,1
3555,11
3556,6
3557,17
3558,10
3559,2
3560,14
3561,14
3562,13
3563,19
3564,3
3565,8
3566,1
3567,3
3568,7
3569,17
3570,18
3571,13
3572,13
3573,13
3574,10
3575,19
3576,9
3577,15
3578,9
3579,12
3580,17
3581,9
3582,9
3583,16
3584,3
3585,13
3586,5
3587,10
3588,3
3589,2
3590,14
3591,13
3592,4
3593,16
3594,12
3595,13
3596,8
3597,2
3598,17
3599,4
3600,12
3601,0
3602,8
3603,0
3604,13
3605,2
3606,16
3607,0
3608,0
3609,19
3610,8
3611,9
3612,16
3613,19
3614,13
3615,17
3616,11
3617,18
3618,13
3619,7
3620,2
3621,15
3622,3
3623,7
3624,6
3625,5
3626,12
3627,10
3628,18
3629,8
3630,7
3631,7
3632,0
3633,4
3634,3
3635,12
3636,19
3637,14
3638,8
3639,18
3640,18
3641,5
3642,19
3643,12
3644,15
3645,2
3646,11
3647,16
3648,7
3649,17
3650,17
3651,15
3652,1
3653,8
3654,12
3655,14
3656,16
3657,18
3658,6
3659,13
3660,0
3661,16
3662,2
3663,12
3664,3
3665,1
3666,1
3667,3
3668,17
3669,0
3670,5
3671,10
3672,1
3673,6
3674,14
3675,19
3676,14
3677,6
3678,11
3679,11
3680,11
3681,1
3682,11
3683,14
3684,6
3685,12
3686,18
3687,19
3688,2
3689,13
3690,9
3691,10
3692,1
3693,1
3694,15
3695,14
3696,15
3697,12
3698,19
3699,14
3700,2
3701,6
3702,3
3703,17
3704,6
3705,12
3706,17
3707,14
3708,18
3709,13
3710,3
3711,3
3712,6
3713,13
3714,6
3715,4
3716,8
3717,14
3718,12
3719,7
3720,7
3721,6
3722,14
3723,6
3724,4
3725,4
3726,2
3727,0
3728,15
3729,16
3730,8
3731,2
3732,10
3733,7
3734,16
3735,5
3736,12
3737,8
3738,8
3739,3
3740,6
3741,11
3742,19
3743,18
3744,17
3745,5
3746,7
3747,2
3748,8
3749,12
3750,7
3751,14
3752,0
3753,1
3754,5
3755,4
3756,0
3757,7
3758,15
3759,18
3760,1
3761,19
3762,18
3763,10
3764,14
3765,1
3766,19
3767,12
3768,2
3769,15
3770,3
3771,15
3772,9
3773,4
3774,16
3775,12
3776,16
3777,12
3778,11
3779,8
3780,4
3781,13
3782,9
3783,11
3784,17
3785,14
3786,9
3787,11
3788,4
3789,1
3790,7
3791,15
3792,3
3793,11
3794,3
3795,13
3796,12
3797,3
3798,4
3799,13
3800,0
3801,11
3802,8
3803,14
3804,19
3805,5
3806,3
3807,6
3808,14
3809,16
3810,11
3811,7
3812,12
3813,12
3814,2
3815,2
3816,10
3817,16
3818,7
3819,12
3820,2
3821,16
3822,1
3823,9
3824,12
3825,0
3826,7
3827,8
3828,14
3829,14
3830,1
3831,10
3832,5
3833,12
3834,19
3835,3
3836,15
3837,9
3838,13
3839,16
3840,9
3841,9
3842,1
3843,17
3844,0
3845,13
3846,3
3847,5
3848,0
3849,1
3850,19
3851,16
3852,10
3853,12
3854,2
3855,16
3856,2
3857,5
3858,15
3859,9
3860,9
3861,18
3862,18
3863,4
3864,11
3865,6
3866,5
3867,12
3868,10
3869,8
3870,1
3871,2
3872,3
3873,14
3874,18
3875,15
3876,15
3877,11
3878,12
3879,19
3880,7
3881,14
3882,12
3883,19
3884,5
3885,4
3886,17
3887,14
3888,13
3889,16
3890,8
3891,8
3892,6
3893,12
3894,3
3895,9
3896,4
3897,7
3898,14
3899,10
3900,13
3901,1
3902,4
3903,16
3904,14
3905,16
3906,6
3907,15
3908,19
3909,17
3910,11
3911,17
3912,14
3913,14
3914,10
3915,12
3916,11
3917,9
3918,13
3919,7
3920,17
3921,1
3922,17
3923,16
3924,5
3925,4
3926,10
3927,14
3928,11
3929,2
3930,15
3931,5
3932,19
3933,3
3934,1
3935,10
3936,10
3937,12
3938,3
3939,8
3940,10
3941,0
3942,15
3943,5
3944,7
3945,5
3946,12
3947,6
3948,11
3949,14
3950,1
3951,9
3952,5
3953,13
3954,16
3955,11
3956,6
3957,4
3958,10
3959,14
3960,15
3961,3
3962,5
3963,15
3964,8
3965,3
3966,13
3967,0
3968,13
3969,11
3970,3
3971,2
3972,13
3973,15
3974,16
3975,10
3976,8
3977,13
3978,2
3979,5
3980,5
3981,5
3982,10
3983,14
3984,19
3985,1
3986,9
3987,15
3988,8
3989,7
3990,0
3991,2
3992,9
3993,17
3994,10
3995,4
3996,9
3997,0
3998,16
3999,9
4000,11
4001,0
4002,7
4003,0
4004,3
4005,6
4006,0
4007,3
4008,9
4009,2
4010,7
4011,9
4012,13
4013,7
4014,8
4015,10
4016,11
4017,4
4018,4
4019,14
4020,11
4021,14
4022,4
4023,16
4024,10
4025,19
4026,5
4027,18
4028,4
4029,18
4030,14
4031,0
4032,2
4033,6
4034,3
4035,4
4036,10
4037,9
4038,6
4039,3
4040,9
4041,13
4042,19
4043,17
4044,8
4045,17
4046,16
4047,14
4048,5
4049,15
4050,1
4051,2
4052,0
4053,10
4054,3
4055,13
4056,16
4057,13
4058,3
4059,14
4060,3
4061,0
4062,1
4063,13
4064,3
4065,9
4066,17
4067,9
4068,4
4069,8
4070,2
4071,18
4072,18
4073,1
4074,1
4075,5
4076,12
4077,15
4078,19
4079,19
4080,2
4081,7
4082,16
4083,9
4084,5
4085,9
4086,5
4087,3
4088,10
4089,3
4090,9
4091,4
4092,2
4093,2
4094,13
4095,17
4096,3
4097,12
4098,19
4099,13
4100,1
4101,6
4102,9
4103,12
4104,3
4105,6
4106,7
4107,4
4108,15
4109,10
4110,14
4111,3
4112,7
4113,8
4114,9
4115,17
4116,5
4117,12
4118,13
4119,8
4120,19
4121,14
4122,4
4123,10
4124,2
4125,5
4126,15
4127,3
4128,13
4129,1
4130,0
4131,13
4132,7
4133,6
4134,1
4135,8
4136,6
4137,8
4138,2
4139,12
4140,2
4141,3
4142,5
4143,3
4144,2
4145,13
4146,8
4147,10
4148,10
4149,11
4150,0
4151,5
4152,11
4153,13
4154,10
4155,7
4156,15
4157,7
4158,0
4159,2
4160,11
4161,12
4162,3
4163,3
4164,13
4165,7
4166,15
4167,6
4168,10
4169,14
4170,6
4171,16
4172,14
4173,5
4174,12
4175,16
4176,11
4177,16
4178,9
4179,15
4180,4
4181,3
4182,17
4183,9
4184,11
4185,6
4186,10
4187,12
4188,16
4189,13
4190,10
4191,6
4192,8
4193,18
4194,12
4195,18
4196,7
4197,10
4198,1
4199,10
4200,15
4201,4
4202,2
4203,0
4204,6
4205,14
4206,2
4207,1
4208,1
4209,18
4210,6
4211,2
4212,11
4213,12
4214,10
4215,3
4216,19
4217,7
4218,8
4219,10
4220,18
4221,3
4222,19
4223,7
4224,9
4225,1
4226,6
4227,13
4228,13
4229,16
4230,4
4231,14
4232,16
4233,6
4234,8
4235,6
4236,11
4237,11
4238,2
4239,8
4240,8
4241,0
4242,4
4243,19
4244,8
4245,7
4246,7
4247,11
4248,6
4249,11
4250,10
4251,14
4252,17
4253,18
4254,1
4255,16
4256,5
4257,16
4258,16
4259,15
4260,4
4261,6
4262,6
4263,1
4264,17
4265,17
4266,7
4267,8
4268,2
4269,6
4270,4
4271,8
4272,3
4273,11
4274,11
4275,10
4276,6
4277,14
4278,4
4279,17
4280,9
4281,17
4282,12
4283,16
4284,14
4285,10
4286,0
4287,13
4288,2
4289,2
4290,4
4291,9
4292,11
4293,9
4294,5
4295,12
4296,10
4297,10
4298,1
4299,2
4300,17
4301,11
4302,13
4303,4
4304,14
4305,1
4306,3
4307,13
4308,7
4309,10
4310,3
4311,9
4312,8
4313,3
4314,6
4315,4
4316,14
4317,15
4318,12
4319,10
4320,14
4321,4
4322,4
4323,10
4324,4
4325,0
4326,0
4327,15
4328,6
4329,11
4330,18
4331,9
4332,2
4333,13
4334,11
4335,16
4336,4
4337,19
4338,6
4339,1
4340,16
4341,1
4342,10
4343,10
4344,15
4345,5
4346,7
4347,8
4348,6
4349,2
4350,4
4351,0
4352,4
4353,12
4354,10
4355,1
4356,11
4357,0
4358,2
4359,9
4360,4
4361,13
4362,11
4363,17
4364,0
4365,14
4366,6
4367,0
4368,5
4369,8
4370,7
4371,7
4372,17
4373,2
4374,15
4375,7
4376,7
4377,14
4378,6
4379,16
4380,8
4381,13
4382,17
4383,3
4384,15
4385,2
4386,12
4387,16
4388,10
4389,10
4390,11
4391,10
4392,1
4393,3
4394,3
4395,17
4396,9
4397,11
4398,1
4399,15
4400,14
4401,17
4402,10
4403,6
4404,4
4405,7
4406,14
4407,3
4408,4
4409,9
4410,2
4411,13
4412,10
4413,8
4414,7
4415,16
4416,11
4417,6
4418,6
4419,0
4420,16
4421,15
4422,15
4423,18
4424,10
4425,0
4426,15
4427,16
4428,13
4429,13
4430,9
4431,14
4432,11
4433,2
4434,10
4435,19
4436,7
4437,6
4438,7
4439,5
4440,4
4441,1
4442,8
4443,12
4444,6
4445,2
4446,10
4447,15
4448,9
4449,8
4450,6
4451,10
4452,5
4453,3
4454,15
4455,14
4456,8
4457,12
4458,7
4459,15
4460,2
4461,16
4462,8
4463,4
4464,0
4465,5
4466,2
4467,2
4468,17
4469,2
4470,18
4471,8
4472,12
4473,12
4474,11
4475,16
4476,8
4477,17
4478,16
4479,16
4480,16
4481,12
4482,15
4483,3
4484,9
4485,6
4486,12
4487,16
4488,15
4489,3
4490,10
4491,13
4492,10
4493,7
4494,2
4495,19
4496,16
4497,15
4498,0
4499,1
4500,10
4501,15
4502,2
4503,17
4504,4
4505,9
4506,4
4507,5
4508,5
4509,7
4510,3
4511,0
4512,14
4513,18
4514,10
4515,9
4516,11
4517,11
4518,6
4519,0
4520,0
4521,7
4522,11
4523,5
4524,5
4525,9
4526,1
4527,13
4528,4
4529,3
4530,0
4531,0
4532,3
4533,1
4534,4
4535,7
4536,1
4537,2
4538,6
4539,18
4540,14
4541,14
4542,11
4543,7
4544,1
4545,13
4546,17
4547,12
4548,9
4549,16
4550,5
4551,0
4552,2
4553,16
4554,18
4555,15
4556,9
4557,0
4558,11
4559,1
4560,1
4561,15
4562,13
4563,15
4564,14
4565,2
4566,7
4567,8
4568,15
4569,2
4570,15
4571,0
4572,0
4573,4
4574,10
4575,12
4576,7
4577,1
4578,7
4579,14
4580,1
4581,5
4582,0
4583,14
4584,12
4585,17
4586,14
4587,3
4588,2
4589,18
4590,6
4591,17
4592,12
4593,0
4594,12
4595,11
4596,8
4597,5
4598,8
4599,10
4600,4
4601,7
4602,19
4603,0
4604,9
4605,8
4606,9
4607,15
4608,11
4609,14
4610,5
4611,13
4612,11
4613,8
4614,15
4615,3
4616,6
4617,3
4618,4
4619,14
4620,13
4621,6
4622,4
4623,18
4624,14
4625,12
4626,6
4627,9
4628,10
4629,0
4630,2
4631,9
4632,7
4633,0
4634,18
4635,0
4636,15
4637,6
4638,4
4639,3
4640,11
4641,5
4642,7
4643,12
4644,1
4645,7
4646,7
4647,15
4648,17
4649,6
4650,12
4651,9
4652,14
4653,18
4654,7
4655,10
4656,11
4657,9
4658,18
4659,1
4660,8
4661,2
4662,3
4663,4
4664,10
4665,5
4666,5
4667,16
4668,4
4669,6
4670,16
4671,14
4672,14
4673,12
4674,11
4675,8
4676,7
4677,4
4678,11
4679,3
4680,2
4681,13
4682,19
4683,12
4684,6
4685,16
4686,10
4687,9
4688,7
4689,12
4690,10
4691,13
4692,12
4693,19
4694,12
4695,1
4696,3
4697,3
4698,12
4699,6
4700,3
4701,18
4702,7
4703,11
4704,12
4705,14
4706,8
4707,16
4708,9
4709,15
4710,6
4711,3
4712,13
4713,16
4714,9
4715,9
4716,0
4717,16
4718,8
4719,13
4720,12
4721,18
4722,7
4723,18
4724,10
4725,4
4726,14
4727,9
4728,5
4729,3
4730,7
4731,14
4732,3
4733,2
4734,3
4735,17
4736,9
4737,6
4738,14
4739,3
4740,11
4741,1
4742,7
4743,12
4744,19
4745,0
4746,12
4747,13
4748,13
4749,6
4750,11
4751,1
4752,1
4753,2
4754,19
4755,13
4756,1
4757,8
4758,6
4759,6
4760,14
4761,1
4762,7
4763,13
4764,17
4765,13
4766,10
4767,14
4768,17
4769,16
4770,2
4771,5
4772,16
4773,7
4774,7
4775,11
4776,15
4777,8
4778,8
4779,7
4780,11
4781,4
4782,1
4783,18
4784,15
4785,15
4786,16
4787,5
4788,17
4789,19
4790,12
4791,7
4792,10
4793,11
4794,15
4795,0
4796,4
4797,4
4798,13
4799,9
4800,15
4801,10
4802,1
4803,13
4804,14
4805,8
4806,1
4807,7
4808,17
4809,1
4810,13
4811,2
4812,6
4813,7
4814,19
4815,0
4816,17
4817,17
4818,12
4819,2
4820,5
4821,2
4822,12
4823,0
4824,12
4825,15
4826,16
4827,14
4828,2
4829,5
4830,5
4831,7
4832,19
4833,0
4834,18
4835,12
4836,5
4837,7
4838,3
4839,10
4840,13
4841,16
4842,5
4843,3
4844,16
4845,11
4846,14
4847,13
4848,2
4849,12
4850,0
4851,9
4852,3
4853,12
4854,11
4855,3
4856,0
4857,1
4858,4
4859,8
4860,14
4861,7
4862,17
4863,5
4864,1
4865,6
4866,1
4867,4
4868,3
4869,14
4870,12
4871,16
4872,2
4873,16
4874,5
4875,16
4876,6
4877,10
4878,16
4879,13
4880,14
4881,1
4882,16
4883,13
4884,7
4885,14
4886,12
4887,9
4888,14
4889,13
4890,16
4891,15
4892,10
4893,12
4894,8
4895,15
4896,7
4897,7
4898,0
4899,1
4900,2
4901,14
4902,18
4903,16
4904,16
4905,2
4906,8
4907,6
4908,3
4909,14
4910,0
4911,5
4912,14
4913,6
4914,17
4915,19
4916,3
4917,2
4918,9
4919,2
4920,6
4921,1
4922,9
4923,9
4924,17
4925,19
4926,19
4927,5
4928,19
4929,5
4930,16
4931,10
4932,15
4933,5
4934,18
4935,15
4936,3
4937,1
4938,10
4939,6
4940,3
4941,9
4942,6
4943,3
4944,16
4945,15
4946,15
4947,6
4948,14
4949,9
4950,6
4951,16
4952,10
4953,10
4954,10
4955,6
4956,12
4957,12
4958,12
4959,17
4960,7
4961,3
4962,4
4963,13
4964,8
4965,12
4966,17
4967,16
4968,13
4969,18
4970,14
4971,14
4972,2
4973,4
4974,14
4975,14
4976,1
4977,2
4978,15
4979,12
4980,17
4981,18
4982,8
4983,18
4984,15
4985,0
4986,2
4987,15
4988,2
4989,10
4990,2
4991,18
4992,0
4993,10
4994,12
4995,5
4996,10
4997,15
4998,17
4999,10
5000,3
5001,5
5002,14
5003,10
5004,9
5005,11
5006,16
5007,17
5008,3
5009,16
5010,7
5011,11
5012,8
5013,18
5014,12
5015,11
5016,10
5017,7
5018,15
5019,1
5020,4
5021,0
5022,12
5023,16
5024,10
5025,10
5026,5
5027,5
5028,7
5029,10
5030,18
5031,14
5032,3
5033,5
5034,7
5035,6
5036,0
5037,8
5038,19
5039,19
5040,18
5041,14
5042,18
5043,11
5044,6
5045,8
5046,19
5047,5
5048,13
5049,16
5050,1
5051,10
5052,17
5053,16
5054,6
5055,14
5056,8
5057,18
5058,0
5059,5
5060,2
5061,15
5062,11
5063,13
5064,5
5065,11
5066,13
5067,13
5068,5
5069,7
5070,4
5071,18
5072,8
5073,7
5074,6
5075,1
5076,5
5077,5
5078,6
5079,0
5080,17
5081,2
5082,5
5083,7
5084,10
5085,1
5086,2
5087,16
5088,17
5089,1
5090,0
5091,18
5092,0
5093,7
5094,11
5095,10
5096,2
5097,2
5098,2
5099,13
5100,11
5101,16
5102,2
5103,10
5104,4
5105,16
5106,6
5107,17
5108,0
5109,11
5110,17
5111,6
5112,8
5113,5
5114,10
5115,0
5116,8
5117,10
5118,8
5119,5
5120,17
5121,16
5122,10
5123,9
5124,3
5125,2
5126,1
5127,16
5128,14
5129,11
5130,3
5131,9
5132,16
5133,4
5134,14
5135,9
5136,4
5137,17
5138,4
5139,2
5140,0
5141,9
5142,12
5143,8
5144,18
5145,2
5146,2
5147,18
5148,8
5149,3
5150,13
5151,5
5152,0
5153,15
5154,16
5155,6
5156,15
5157,4
5158,13
5159,2
5160,7
5161,4
5162,18
5163,4
5164,6
5165,17
5166,18
5167,4
5168,7
5169,7
5170,9
5171,1
5172,6
5173,5
5174,0
5175,1
5176,0
5177,8
5178,10
5179,4
5180,14
5181,18
5182,7
5183,3
5184,9
5185,17
5186,13
5187,15
5188,7
5189,16
5190,11
5191,17
5192,3
5193,13
5194,10
5195,0
5196,11
5197,13
5198,0
5199,17
5200,14
5201,8
5202,17
5203,12
5204,5
5205,12
5206,3
5207,4
5208,2
5209,16
5210,16
5211,15
5212,1
5213,0
5214,9
5215,0
5216,14
5217,9
5218,11
5219,11
5220,19
5221,6
5222,5
5223,17
5224,15
5225,6
5226,5
5227,3
5228,4
5229,10
5230,2
5231,0
5232,9
5233,13
5234,12
5235,8
5236,13
5237,16
5238,4
5239,1
5240,10
5241,9
5242,15
5243,12
5244,16
5245,13
5246,18
5247,17
5248,11
5249,16
5250,18
5251,9
5252,3
5253,0
5254,10
5255,14
5256,4
5257,9
5258,19
5259,16
5260,12
5261,4
5262,3
5263,5
5264,5
5265,12
5266,0
5267,4
5268,4
5269,5
5270,1
5271,7
5272,14
5273,8
5274,10
5275,3
5276,1
5277,5
5278,14
5279,1
5280,9
5281,6
5282,2
5283,14
5284,10
5285,16
5286,15
5287,8
5288,12
5289,9
5290,15
5291,6
5292,17
5293,19
5294,6
5295,18
5296,12
5297,1
5298,0
5299,2
5300,2
5301,6
5302,5
5303,5
5304,12
5305,9
5306,0
5307,12
5308,7
5309,13
5310,16
5311,2
5312,4
5313,11
5314,14
5315,7
5316,18
5317,10
5318,13
5319,17
5320,9
5321,11
5322,11
5323,8
5324,7
5325,1
5326,5
5327,17
5328,17
5329,18
5330,15
5331,8
5332,2
5333,2
5334,13
5335,7
5336,5
5337,5
5338,4
5339,9
5340,13
5341,10
5342,4
5343,11
5344,17
5345,9
5346,2
5347,10
5348,8
5349,0
5350,12
5351,9
5352,19
5353,17
5354,0
5355,8
5356,14
5357,10
5358,17
5359,6
5360,10
5361,11
5362,14
5363,12
5364,12
5365,2
5366,16
5367,3
5368,3
5369,18
5370,13
5371,11
5372,2
5373,1
5374,0
5375,2
5376,2
5377,7
5378,12
5379,16
5380,2
5381,4
5382,15
5383,14
5384,10
5385,10
5386,6
5387,9
5388,9
5389,7
5390,2
5391,15
5392,7
5393,3
5394,6
5395,0
5396,18
5397,8
5398,5
5399,19
5400,13
5401,11
5402,18
5403,13
5404,15
5405,7
5406,7
5407,18
5408,17
5409,9
5410,0
5411,3
5412,16
5413,18
5414,5
5415,17
5416,2
5417,9
5418,13
5419,10
5420,9
5421,3
5422,1
5423,0
5424,18
5425,18
5426,17
5427,13
5428,19
5429,18
5430,2
5431,11
5432,12
5433,11
5434,13
5435,10
5436,14
5437,14
5438,6
5439,12
5440,12
5441,7
5442,8
5443,10
5444,2
5445,13
5446,19
5447,1
5448,17
5449,5
5450,10
5451,7
5452,6
5453,1
5454,4
5455,11
5456,4
5457,2
5458,0
5459,5
5460,1
5461,9
5462,16
5463,11
5464,17
5465,6
5466,12
5467,1
5468,7
5469,14
5470,18
5471,12
5472,7
5473,13
5474,9
5475,3
5476,5
5477,11
5478,0
5479,15
5480,18
5481,17
5482,5
5483,1
5484,17
5485,15
5486,9
5487,10
5488,0
5489,12
5490,14
5491,3
5492,19
5493,11
5494,2
5495,8
5496,5
5497,9
5498,4
5499,13
5500,13
5501,6
5502,8
5503,16
5504,11
5505,15
5506,3
5507,10
5508,10
5509,6
5510,6
5511,17
5512,12
5513,17
5514,15
5515,18
5516,1
5517,5
5518,0
5519,17
5520,4
5521,6
5522,17
5523,15
5524,6
5525,13
5526,4
5527,19
5528,16
5529,17
5530,17
5531,4
5532,5
5533,16
5534,5
5535,9
5536,7
5537,9
5538,18
5539,15
5540,12
5541,12
5542,15
5543,11
5544,13
5545,14
5546,6
5547,2
5548,5
5549,13
5550,2
5551,14
5552,16
5553,10
5554,13
5555,8
5556,18
5557,19
5558,6
5559,17
5560,13
5561,12
5562,11
5563,3
5564,5
5565,8
5566,2
5567,14
5568,14
5569,8
5570,5
5571,17
5572,16
5573,1
5574,18
5575,8
5576,9
5577,16
5578,7
5579,5
5580,12
5581,0
5582,6
5583,8
5584,19
5585,18
5586,15
5587,7
5588,10
5589,12
5590,16
5591,12
5592,5
5593,13
5594,16
5595,4
5596,6
5597,0
5598,17
5599,19
5600,18
5601,14
5602,15
5603,3
5604,0
5605,16
5606,7
5607,17
5608,14
5609,5
5610,19
5611,3
5612,1
5613,15
5614,12
5615,1
5616,2
5617,16
5618,9
5619,19
5620,17
5621,12
5622,8
5623,1
5624,11
5625,11
5626,9
5627,5
5628,0
5629,5
5630,8
5631,8
5632,12
5633,13
5634,1
5635,15
5636,10
5637,16
5638,1
5639,8
5640,2
5641,4
5642,2
5643,12
5644,10
5645,16
5646,8
5647,17
5648,1
5649,12
5650,10
5651,8
5652,6
5653,10
5654,1
5655,9
5656,5
5657,15
5658,7
5659,9
5660,7
5661,2
5662,7
5663,3
5664,2
5665,0
5666,13
5667,11
5668,8
5669,16
5670,14
5671,6
5672,4
5673,18
5674,8
5675,6
5676,14
5677,10
5678,9
5679,5
5680,4
5681,19
5682,12
5683,5
5684,1
5685,2
5686,18
5687,18
5688,14
5689,12
5690,13
5691,15
5692,8
5693,6
5694,5
5695,13
5696,17
5697,15
5698,7
5699,6
5700,17
5701,2
5702,13
5703,0
5704,7
5705,6
5706,18
5707,3
5708,12
5709,8
5710,10
5711,13
5712,14
5713,16
5714,15
5715,10
5716,4
5717,16
5718,15
5719,0
5720,19
5721,17
5722,1
5723,4
5724,1
5725,2
5726,11
5727,1
5728,18
5729,16
5730,15
5731,4
5732,8
5733,11
5734,17
5735,7
5736,3
5737,13
5738,2
5739,10
5740,5
5741,6
5742,7
5743,12
5744,11
5745,6
5746,1
5747,17
5748,17
5749,2
5750,4
5751,18
5752,10
5753,2
5754,0
5755,8
5756,8
5757,2
5758,9
5759,6
5760,16
5761,17
5762,0
5763,5
5764,10
5765,3
5766,7
5767,1
5768,8
5769,4
5770,13
5771,18
5772,6
5773,15
5774,3
5775,11
5776,13
5777,17
5778,8
5779,11
5780,16
5781,17
5782,19
5783,11
5784,19
5785,14
5786,1
5787,8
5788,2
5789,9
5790,18
5791,5
5792,2
5793,1
5794,18
5795,16
5796,4
